amount,drivetrain,payment_year,disadvantaged,publicorprivate,grossvehicleweight,manufacturer,vocationaluse,infrastructure,county,assemblydistrict,senatedistrict,air_district,censustract,fleetzipcode
45000,HV,2010,Yes,Public,"33,001 and up",New Flyer of America,Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 62,Senate District 35,South Coast AQMD,Tract 06037602900,ZIP Code 90247
40000,HV,2010,Yes,Public,"33,001 and up",New Flyer of America,Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 62,Senate District 35,South Coast AQMD,Tract 06037602900,ZIP Code 90247
40000,HV,2010,Yes,Public,"33,001 and up",New Flyer of America,Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 62,Senate District 35,South Coast AQMD,Tract 06037602900,ZIP Code 90247
40000,HV,2010,Yes,Public,"33,001 and up",New Flyer of America,Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 62,Senate District 35,South Coast AQMD,Tract 06037602900,ZIP Code 90247
40000,HV,2010,Yes,Public,"33,001 and up",New Flyer of America,Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 62,Senate District 35,South Coast AQMD,Tract 06037602900,ZIP Code 90247
40000,HV,2010,Yes,Public,"33,001 and up",New Flyer of America,Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 62,Senate District 35,South Coast AQMD,Tract 06037602900,ZIP Code 90247
40000,HV,2011,Yes,Public,"33,001 and up",New Flyer of America,Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 62,Senate District 35,South Coast AQMD,Tract 06037602900,ZIP Code 90247
10592.04,HV,2013,No,Public,"26,001 - 33,000",Navistar,Bus - Heavy Duty/Transit,No,Mendocino County,Assembly District 02,Senate District 02,Mendocino County AQMD,Tract 06045011700,ZIP Code 95482
21184.08,HV,2013,No,Public,"26,001 - 33,000",Navistar,Bus - Heavy Duty/Transit,No,Mendocino County,Assembly District 02,Senate District 02,Mendocino County AQMD,Tract 06045011700,ZIP Code 95482
105000,ZEV-BEV,2014,No,Private,"33,001 and up","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,Santa Clara County,Assembly District 24,Senate District 13,Bay Area AQMD,Tract 06085511705,ZIP Code 94304
95000,ZEV-BEV,2014,No,Private,"33,001 and up","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,Santa Clara County,Assembly District 24,Senate District 13,Bay Area AQMD,Tract 06085511705,ZIP Code 94304
95000,ZEV-BEV,2014,No,Private,"33,001 and up","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,Santa Clara County,Assembly District 24,Senate District 13,Bay Area AQMD,Tract 06085511705,ZIP Code 94304
95000,ZEV-BEV,2014,No,Private,"33,001 and up","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,Santa Clara County,Assembly District 24,Senate District 13,Bay Area AQMD,Tract 06085511705,ZIP Code 94304
55000,ZEV-BEV,2015,No,Public,"33,001 and up","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 36,Senate District 21,Antelope Valley AQMD,Tract 06037900704,ZIP Code 93534
55000,ZEV-BEV,2015,No,Public,"33,001 and up","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 36,Senate District 21,Antelope Valley AQMD,Tract 06037900704,ZIP Code 93534
105000,ZEV-BEV,2015,No,Private,"33,001 and up","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,Santa Clara County,Assembly District 24,Senate District 13,Bay Area AQMD,Tract 06085511705,ZIP Code 94304
105000,ZEV-BEV,2015,No,Private,"33,001 and up","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,Santa Clara County,Assembly District 24,Senate District 13,Bay Area AQMD,Tract 06085511705,ZIP Code 94304
95000,ZEV-BEV,2015,No,Private,"33,001 and up","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,Santa Clara County,Assembly District 24,Senate District 13,Bay Area AQMD,Tract 06085511705,ZIP Code 94304
95000,ZEV-BEV,2015,No,Private,"33,001 and up","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,Santa Clara County,Assembly District 24,Senate District 13,Bay Area AQMD,Tract 06085511705,ZIP Code 94304
95000,ZEV-BEV,2015,No,Private,"33,001 and up","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,Santa Clara County,Assembly District 24,Senate District 13,Bay Area AQMD,Tract 06085511705,ZIP Code 94304
95000,ZEV-BEV,2015,No,Private,"33,001 and up","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,Santa Clara County,Assembly District 24,Senate District 13,Bay Area AQMD,Tract 06085511705,ZIP Code 94304
120000,ZEV-BEV,2015,Yes,Public,"33,001 and up","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 53,Senate District 30,South Coast AQMD,Tract 06037206300,ZIP Code 90021
120000,ZEV-BEV,2015,Yes,Public,"33,001 and up","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 53,Senate District 30,South Coast AQMD,Tract 06037206300,ZIP Code 90021
120000,ZEV-BEV,2015,Yes,Public,"33,001 and up","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 53,Senate District 30,South Coast AQMD,Tract 06037206300,ZIP Code 90021
110000,ZEV-BEV,2015,Yes,Public,"33,001 and up","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 53,Senate District 30,South Coast AQMD,Tract 06037206300,ZIP Code 90021
110000,ZEV-BEV,2015,Yes,Public,"33,001 and up","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 53,Senate District 30,South Coast AQMD,Tract 06037206300,ZIP Code 90021
120000,ZEV-BEV,2016,Yes,Public,"33,001 and up","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 62,Senate District 35,South Coast AQMD,Tract 06037602900,ZIP Code 90249
126000,ZEV-BEV,2016,Yes,Public,"33,001 and up","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 70,Senate District 33,South Coast AQMD,Tract 06037575202,ZIP Code 90813
140000,ZEV-BEV,2016,Yes,Public,"33,001 and up",Proterra,Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 52,Senate District 20,South Coast AQMD,Tract 06037402801,ZIP Code 91766
140000,ZEV-BEV,2016,Yes,Public,"33,001 and up",Proterra,Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 52,Senate District 20,South Coast AQMD,Tract 06037402801,ZIP Code 91766
95000,ZEV-BEV,2017,No,Private,"26,001 - 33,000","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,Santa Clara County,Assembly District 24,Senate District 13,Bay Area AQMD,Tract 06085511705,ZIP Code 94304
95000,ZEV-BEV,2017,No,Private,"26,001 - 33,000","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,Santa Clara County,Assembly District 24,Senate District 13,Bay Area AQMD,Tract 06085511705,ZIP Code 94304
95000,ZEV-BEV,2017,No,Private,"26,001 - 33,000","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,Santa Clara County,Assembly District 24,Senate District 13,Bay Area AQMD,Tract 06085511705,ZIP Code 94304
95000,ZEV-BEV,2017,No,Private,"26,001 - 33,000","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,Santa Clara County,Assembly District 24,Senate District 13,Bay Area AQMD,Tract 06085511705,ZIP Code 94304
95000,ZEV-BEV,2017,No,Private,"26,001 - 33,000","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,Santa Clara County,Assembly District 24,Senate District 13,Bay Area AQMD,Tract 06085511705,ZIP Code 94304
95000,ZEV-BEV,2017,No,Private,"26,001 - 33,000","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,Santa Clara County,Assembly District 24,Senate District 13,Bay Area AQMD,Tract 06085511705,ZIP Code 94304
95000,ZEV-BEV,2017,No,Private,"26,001 - 33,000","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,Santa Clara County,Assembly District 24,Senate District 13,Bay Area AQMD,Tract 06085511705,ZIP Code 94304
95000,ZEV-BEV,2017,No,Private,"26,001 - 33,000","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,Santa Clara County,Assembly District 24,Senate District 13,Bay Area AQMD,Tract 06085511705,ZIP Code 94304
95000,ZEV-BEV,2017,No,Private,"26,001 - 33,000","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,Santa Clara County,Assembly District 24,Senate District 13,Bay Area AQMD,Tract 06085511705,ZIP Code 94304
101000,ZEV-BEV,2017,No,Private,"33,001 and up","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 54,Senate District 26,South Coast AQMD,Tract 06037265301,ZIP Code 90095
101000,ZEV-BEV,2017,No,Private,"33,001 and up","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 54,Senate District 26,South Coast AQMD,Tract 06037265301,ZIP Code 90095
95000,ZEV-BEV,2017,No,Private,"26,001 - 33,000","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,Santa Clara County,Assembly District 24,Senate District 13,Bay Area AQMD,Tract 06085511705,ZIP Code 94304
116000,ZEV-BEV,2017,Yes,Public,"33,001 and up","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 70,Senate District 33,South Coast AQMD,Tract 06037575202,ZIP Code 90813
116000,ZEV-BEV,2017,Yes,Public,"33,001 and up","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 70,Senate District 33,South Coast AQMD,Tract 06037575202,ZIP Code 90813
116000,ZEV-BEV,2017,Yes,Public,"33,001 and up","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 70,Senate District 33,South Coast AQMD,Tract 06037575202,ZIP Code 90813
140000,ZEV-BEV,2017,Yes,Public,"33,001 and up",Proterra,Bus - Heavy Duty/Transit,No,San Joaquin County,Assembly District 13,Senate District 05,San Joaquin Valley Unified APCD,Tract 06077002000,ZIP Code 95205
140000,ZEV-BEV,2017,Yes,Public,"33,001 and up",Proterra,Bus - Heavy Duty/Transit,No,San Joaquin County,Assembly District 13,Senate District 05,San Joaquin Valley Unified APCD,Tract 06077002000,ZIP Code 95205
140000,ZEV-BEV,2017,Yes,Public,"33,001 and up",Proterra,Bus - Heavy Duty/Transit,No,San Joaquin County,Assembly District 13,Senate District 05,San Joaquin Valley Unified APCD,Tract 06077002000,ZIP Code 95205
130000,ZEV-BEV,2017,Yes,Public,"33,001 and up",Proterra,Bus - Heavy Duty/Transit,No,San Joaquin County,Assembly District 13,Senate District 05,San Joaquin Valley Unified APCD,Tract 06077002000,ZIP Code 95205
130000,ZEV-BEV,2017,Yes,Public,"33,001 and up",Proterra,Bus - Heavy Duty/Transit,No,San Joaquin County,Assembly District 13,Senate District 05,San Joaquin Valley Unified APCD,Tract 06077002000,ZIP Code 95205
130000,ZEV-BEV,2017,Yes,Public,"33,001 and up",Proterra,Bus - Heavy Duty/Transit,No,San Joaquin County,Assembly District 13,Senate District 05,San Joaquin Valley Unified APCD,Tract 06077002000,ZIP Code 95205
130000,ZEV-BEV,2017,Yes,Public,"33,001 and up",Proterra,Bus - Heavy Duty/Transit,No,San Joaquin County,Assembly District 13,Senate District 05,San Joaquin Valley Unified APCD,Tract 06077002000,ZIP Code 95205
116000,ZEV-BEV,2017,Yes,Public,"33,001 and up","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 70,Senate District 33,South Coast AQMD,Tract 06037575202,ZIP Code 90813
126000,ZEV-BEV,2017,Yes,Public,"33,001 and up","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,Solano County,Assembly District 14,Senate District 03,Bay Area AQMD,Tract 06095250900,ZIP Code 94590
126000,ZEV-BEV,2017,Yes,Public,"33,001 and up","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,Solano County,Assembly District 14,Senate District 03,Bay Area AQMD,Tract 06095250900,ZIP Code 94590
130000,ZEV-BEV,2017,Yes,Public,"33,001 and up",Proterra,Bus - Heavy Duty/Transit,No,San Joaquin County,Assembly District 13,Senate District 05,San Joaquin Valley Unified APCD,Tract 06077002000,ZIP Code 95205
116000,ZEV-BEV,2017,Yes,Public,"33,001 and up","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 70,Senate District 33,South Coast AQMD,Tract 06037575202,ZIP Code 90813
126000,ZEV-BEV,2017,Yes,Public,"33,001 and up","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 70,Senate District 33,South Coast AQMD,Tract 06037575202,ZIP Code 90813
126000,ZEV-BEV,2017,Yes,Public,"33,001 and up","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 70,Senate District 33,South Coast AQMD,Tract 06037575202,ZIP Code 90813
116000,ZEV-BEV,2018,Yes,Public,"33,001 and up","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 70,Senate District 33,South Coast AQMD,Tract 06037575202,ZIP Code 90813
116000,ZEV-BEV,2018,Yes,Public,"33,001 and up","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 70,Senate District 33,South Coast AQMD,Tract 06037575202,ZIP Code 90813
120000,ZEV-BEV,2018,Yes,Public,"33,001 and up",Proterra,Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 52,Senate District 20,South Coast AQMD,Tract 06037402801,ZIP Code 91766
110000,ZEV-BEV,2018,Yes,Public,"33,001 and up",Proterra,Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 52,Senate District 20,South Coast AQMD,Tract 06037402801,ZIP Code 91766
110000,ZEV-BEV,2018,Yes,Public,"33,001 and up",Proterra,Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 52,Senate District 20,South Coast AQMD,Tract 06037402801,ZIP Code 91766
110000,ZEV-BEV,2018,Yes,Public,"33,001 and up",Proterra,Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 52,Senate District 20,South Coast AQMD,Tract 06037402801,ZIP Code 91766
110000,ZEV-BEV,2018,Yes,Public,"33,001 and up",Proterra,Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 52,Senate District 20,South Coast AQMD,Tract 06037402801,ZIP Code 91766
110000,ZEV-BEV,2018,Yes,Public,"33,001 and up",Proterra,Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 52,Senate District 20,South Coast AQMD,Tract 06037402801,ZIP Code 91766
110000,ZEV-BEV,2018,Yes,Public,"33,001 and up",Proterra,Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 52,Senate District 20,South Coast AQMD,Tract 06037402801,ZIP Code 91766
110000,ZEV-BEV,2018,Yes,Public,"33,001 and up",Proterra,Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 52,Senate District 20,South Coast AQMD,Tract 06037402801,ZIP Code 91766
110000,ZEV-BEV,2018,Yes,Public,"33,001 and up",Proterra,Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 52,Senate District 20,South Coast AQMD,Tract 06037402801,ZIP Code 91766
110000,ZEV-BEV,2018,Yes,Public,"33,001 and up",Proterra,Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 52,Senate District 20,South Coast AQMD,Tract 06037402801,ZIP Code 91766
110000,ZEV-BEV,2018,Yes,Public,"33,001 and up",Proterra,Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 52,Senate District 20,South Coast AQMD,Tract 06037402801,ZIP Code 91766
110000,ZEV-BEV,2018,Yes,Public,"33,001 and up",Proterra,Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 52,Senate District 20,South Coast AQMD,Tract 06037402801,ZIP Code 91766
110000,ZEV-BEV,2018,Yes,Public,"33,001 and up",Proterra,Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 52,Senate District 20,South Coast AQMD,Tract 06037402801,ZIP Code 91766
300000,ZEV-FCV,2018,No,Public,"33,001 and up","ElDorado National California, Inc",Bus - Heavy Duty/Transit,No,Riverside County,Assembly District 56,Senate District 28,South Coast AQMD,Tract 06065044505,ZIP Code 92276
300000,ZEV-FCV,2018,No,Public,"33,001 and up","ElDorado National California, Inc",Bus - Heavy Duty/Transit,No,Riverside County,Assembly District 56,Senate District 28,South Coast AQMD,Tract 06065044505,ZIP Code 92276
300000,ZEV-FCV,2018,No,Public,"33,001 and up","ElDorado National California, Inc",Bus - Heavy Duty/Transit,No,Riverside County,Assembly District 56,Senate District 28,South Coast AQMD,Tract 06065044505,ZIP Code 92276
166000,ZEV-BEV,2018,No,Private,"33,001 and up","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,Contra Costa County,Assembly District 11,Senate District 07,Bay Area AQMD,Tract 06013306004,ZIP Code 94509
156000,ZEV-BEV,2018,No,Private,"33,001 and up","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,Contra Costa County,Assembly District 11,Senate District 07,Bay Area AQMD,Tract 06013306004,ZIP Code 94509
300000,ZEV-FCV,2018,No,Public,"33,001 and up","ElDorado National California, Inc",Bus - Heavy Duty/Transit,No,Riverside County,Assembly District 56,Senate District 28,South Coast AQMD,Tract 06065044505,ZIP Code 92276
300000,ZEV-FCV,2018,No,Public,"33,001 and up","ElDorado National California, Inc",Bus - Heavy Duty/Transit,No,Riverside County,Assembly District 56,Senate District 28,South Coast AQMD,Tract 06065044505,ZIP Code 92276
160000,ZEV-BEV,2019,No,Private,"33,001 and up",Proterra,Bus - Heavy Duty/Transit,No,Mariposa County,Assembly District 05,Senate District 08,Mariposa County APCD,Tract 06043000400,ZIP Code 95389
160000,ZEV-BEV,2019,No,Private,"33,001 and up",Proterra,Bus - Heavy Duty/Transit,No,Mariposa County,Assembly District 05,Senate District 08,Mariposa County APCD,Tract 06043000400,ZIP Code 95389
130000,ZEV-BEV,2019,No,Public,"26,001 - 33,000","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,Monterey County,Assembly District 29,Senate District 17,Monterey Bay Unified APCD,Tract 06053013200,ZIP Code 93940
130000,ZEV-BEV,2019,No,Public,"26,001 - 33,000","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,Monterey County,Assembly District 29,Senate District 17,Monterey Bay Unified APCD,Tract 06053013200,ZIP Code 93940
145000,ZEV-BEV,2019,Yes,Private,"26,001 - 33,000",GreenPower Motor Company,Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 62,Senate District 26,South Coast AQMD,Tract 06037980028,ZIP Code 90045
175000,ZEV-BEV,2019,Yes,Private,"33,001 and up",GreenPower Motor Company,Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 62,Senate District 26,South Coast AQMD,Tract 06037980028,ZIP Code 90045
175000,ZEV-BEV,2019,Yes,Private,"33,001 and up",GreenPower Motor Company,Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 62,Senate District 26,South Coast AQMD,Tract 06037980028,ZIP Code 90045
165000,ZEV-BEV,2019,Yes,Public,"33,001 and up",Proterra,Bus - Heavy Duty/Transit,No,San Joaquin County,Assembly District 13,Senate District 05,San Joaquin Valley Unified APCD,Tract 06077002000,ZIP Code 95201
165000,ZEV-BEV,2019,Yes,Public,"33,001 and up",Proterra,Bus - Heavy Duty/Transit,No,San Joaquin County,Assembly District 13,Senate District 05,San Joaquin Valley Unified APCD,Tract 06077002000,ZIP Code 95201
165000,ZEV-BEV,2019,Yes,Public,"33,001 and up",Proterra,Bus - Heavy Duty/Transit,No,San Joaquin County,Assembly District 13,Senate District 05,San Joaquin Valley Unified APCD,Tract 06077002000,ZIP Code 95201
165000,ZEV-BEV,2019,Yes,Public,"33,001 and up",Proterra,Bus - Heavy Duty/Transit,No,San Joaquin County,Assembly District 13,Senate District 05,San Joaquin Valley Unified APCD,Tract 06077002000,ZIP Code 95201
165000,ZEV-BEV,2019,Yes,Public,"33,001 and up",Proterra,Bus - Heavy Duty/Transit,No,San Joaquin County,Assembly District 13,Senate District 05,San Joaquin Valley Unified APCD,Tract 06077002000,ZIP Code 95201
160000,ZEV-BEV,2019,No,Private,"33,001 and up",Proterra,Bus - Heavy Duty/Transit,No,Contra Costa County,Assembly District 11,Senate District 07,Bay Area AQMD,Tract 06013306004,ZIP Code 94509
160000,ZEV-BEV,2019,No,Private,"33,001 and up",Proterra,Bus - Heavy Duty/Transit,No,Contra Costa County,Assembly District 11,Senate District 07,Bay Area AQMD,Tract 06013306004,ZIP Code 94509
111000,ZEV-BEV,2019,No,Public,"33,001 and up","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,San Francisco County,Assembly District 17,Senate District 11,Bay Area AQMD,Tract 06075060700,ZIP Code 94143
101000,ZEV-BEV,2019,No,Public,"33,001 and up","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,San Francisco County,Assembly District 17,Senate District 11,Bay Area AQMD,Tract 06075060700,ZIP Code 94143
101000,ZEV-BEV,2019,No,Public,"33,001 and up","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,San Francisco County,Assembly District 17,Senate District 11,Bay Area AQMD,Tract 06075060700,ZIP Code 94143
101000,ZEV-BEV,2019,No,Public,"33,001 and up","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,San Francisco County,Assembly District 17,Senate District 11,Bay Area AQMD,Tract 06075060700,ZIP Code 94143
101000,ZEV-BEV,2019,No,Public,"33,001 and up","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,San Francisco County,Assembly District 17,Senate District 11,Bay Area AQMD,Tract 06075060700,ZIP Code 94143
101000,ZEV-BEV,2019,No,Public,"33,001 and up","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,San Francisco County,Assembly District 17,Senate District 11,Bay Area AQMD,Tract 06075060700,ZIP Code 94143
101000,ZEV-BEV,2019,No,Public,"33,001 and up","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,San Francisco County,Assembly District 17,Senate District 11,Bay Area AQMD,Tract 06075060700,ZIP Code 94143
101000,ZEV-BEV,2019,No,Public,"33,001 and up","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,San Francisco County,Assembly District 17,Senate District 11,Bay Area AQMD,Tract 06075060700,ZIP Code 94143
101000,ZEV-BEV,2019,No,Public,"33,001 and up","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,San Francisco County,Assembly District 17,Senate District 11,Bay Area AQMD,Tract 06075060700,ZIP Code 94143
101000,ZEV-BEV,2019,No,Public,"33,001 and up","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,San Francisco County,Assembly District 17,Senate District 11,Bay Area AQMD,Tract 06075060700,ZIP Code 94143
101000,ZEV-BEV,2019,No,Public,"33,001 and up","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,San Francisco County,Assembly District 17,Senate District 11,Bay Area AQMD,Tract 06075060700,ZIP Code 94143
160000,ZEV-BEV,2019,No,Public,"33,001 and up",Proterra,Bus - Heavy Duty/Transit,No,Santa Clara County,Assembly District 25,Senate District 10,Bay Area AQMD,Tract 06085505008,ZIP Code 95134
160000,ZEV-BEV,2019,No,Public,"33,001 and up",Proterra,Bus - Heavy Duty/Transit,No,Santa Clara County,Assembly District 25,Senate District 10,Bay Area AQMD,Tract 06085505008,ZIP Code 95134
150000,ZEV-BEV,2019,No,Public,"33,001 and up",Proterra,Bus - Heavy Duty/Transit,No,Santa Clara County,Assembly District 25,Senate District 10,Bay Area AQMD,Tract 06085505008,ZIP Code 95134
150000,ZEV-BEV,2019,No,Public,"33,001 and up",Proterra,Bus - Heavy Duty/Transit,No,Santa Clara County,Assembly District 25,Senate District 10,Bay Area AQMD,Tract 06085505008,ZIP Code 95134
160000,ZEV-BEV,2019,No,Public,"33,001 and up",Proterra,Bus - Heavy Duty/Transit,No,Santa Clara County,Assembly District 25,Senate District 10,Bay Area AQMD,Tract 06085505008,ZIP Code 95134
135000,ZEV-BEV,2019,Yes,Public,"33,001 and up",Proterra,Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 48,Senate District 22,South Coast AQMD,Tract 06037404600,ZIP Code 91006
135000,ZEV-BEV,2019,Yes,Public,"33,001 and up",Proterra,Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 48,Senate District 22,South Coast AQMD,Tract 06037404600,ZIP Code 91006
135000,ZEV-BEV,2019,Yes,Public,"33,001 and up",Proterra,Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 48,Senate District 22,South Coast AQMD,Tract 06037404600,ZIP Code 91006
150000,ZEV-BEV,2019,No,Public,"33,001 and up",Proterra,Bus - Heavy Duty/Transit,No,Humboldt County,Assembly District 02,Senate District 02,North Coast Unified AQMD,Tract 06023000500,ZIP Code 95501
175000,ZEV-BEV,2019,Yes,Private,"33,001 and up",Proterra,Bus - Heavy Duty/Transit,No,San Mateo County,Assembly District 22,Senate District 13,Bay Area AQMD,Tract 06081602300,ZIP Code 94080
175000,ZEV-BEV,2019,Yes,Private,"33,001 and up",Proterra,Bus - Heavy Duty/Transit,No,San Mateo County,Assembly District 22,Senate District 13,Bay Area AQMD,Tract 06081602300,ZIP Code 94080
150000,ZEV-BEV,2019,No,Public,"33,001 and up",Proterra,Bus - Heavy Duty/Transit,No,Santa Clara County,Assembly District 25,Senate District 10,Bay Area AQMD,Tract 06085505100,ZIP Code 95110
150000,ZEV-BEV,2019,No,Public,"33,001 and up",Proterra,Bus - Heavy Duty/Transit,No,Santa Clara County,Assembly District 25,Senate District 10,Bay Area AQMD,Tract 06085505100,ZIP Code 95110
150000,ZEV-BEV,2019,No,Public,"33,001 and up",Proterra,Bus - Heavy Duty/Transit,No,Santa Clara County,Assembly District 25,Senate District 10,Bay Area AQMD,Tract 06085505100,ZIP Code 95110
150000,ZEV-BEV,2019,No,Public,"33,001 and up",Proterra,Bus - Heavy Duty/Transit,No,Santa Clara County,Assembly District 25,Senate District 10,Bay Area AQMD,Tract 06085505100,ZIP Code 95110
150000,ZEV-BEV,2019,No,Public,"33,001 and up",Proterra,Bus - Heavy Duty/Transit,No,Santa Clara County,Assembly District 25,Senate District 10,Bay Area AQMD,Tract 06085505100,ZIP Code 95110
150000,ZEV-BEV,2019,No,Public,"33,001 and up",Proterra,Bus - Heavy Duty/Transit,No,Santa Clara County,Assembly District 25,Senate District 10,Bay Area AQMD,Tract 06085505100,ZIP Code 95110
150000,ZEV-BEV,2019,No,Public,"33,001 and up",Proterra,Bus - Heavy Duty/Transit,No,Santa Clara County,Assembly District 25,Senate District 10,Bay Area AQMD,Tract 06085505100,ZIP Code 95110
150000,ZEV-BEV,2019,No,Public,"33,001 and up",Proterra,Bus - Heavy Duty/Transit,No,Santa Clara County,Assembly District 25,Senate District 10,Bay Area AQMD,Tract 06085505100,ZIP Code 95110
150000,ZEV-BEV,2019,No,Public,"33,001 and up",Proterra,Bus - Heavy Duty/Transit,No,Santa Clara County,Assembly District 25,Senate District 10,Bay Area AQMD,Tract 06085505100,ZIP Code 95110
101000,ZEV-BEV,2019,No,Public,"33,001 and up","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,San Francisco County,Assembly District 17,Senate District 11,Bay Area AQMD,Tract 06075060700,ZIP Code 94143
101000,ZEV-BEV,2019,No,Public,"33,001 and up","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,San Francisco County,Assembly District 17,Senate District 11,Bay Area AQMD,Tract 06075060700,ZIP Code 94143
150000,ZEV-BEV,2019,No,Private,"33,001 and up","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 54,Senate District 26,South Coast AQMD,Tract 06037265301,ZIP Code 90095
